timestamp,long_size,short_size,total_size
2025-01-26 18:56:44.826524,54801.43837219,66277.81097836001,121079.24935055
2025-01-26 19:10:44.668516,89449.63065241001,84174.68259256001,173624.31324497002
2025-01-26 19:20:51.312537,124194.46844151002,95641.22238210001,219835.69082361003
2025-01-26 19:30:55.704814,121896.23078940001,67077.6891058,188973.9198952
2025-01-26 19:41:00.028935,77476.80581806002,86350.90374469,163827.70956275
2025-01-26 19:51:04.159667,55830.411584789996,108330.04311872,164160.45470350998
2025-01-26 20:01:08.197505,54482.039794460004,65032.031372130004,119514.07116659
2025-01-26 20:19:33.826110,128707.93815972,79720.7579538,208428.69611352
2025-01-26 20:29:37.682845,111977.42018179999,114402.48248095001,226379.90266274998
2025-01-26 20:39:41.928028,71827.3752504,68894.99968958,140722.37493997999
